Participation_Mode,Club_Membership,Event_Theme,Event_Time,Semester
Online,CSI,Sustainability,Evening,Sem 4
Online,NSS,AI,Afternoon,Sem 4
Online,IEEE,Cybersecurity,Morning,Sem 1
Online,NSS,Entrepreneurship,Evening,Sem 5
Online,Rotaract,AI,Morning,Sem 8
Offline,GDSC,Sustainability,Morning,Sem 7
Online,GDSC,Entrepreneurship,Afternoon,Sem 7
Offline,NSS,Cybersecurity,Morning,Sem 6
Offline,Rotaract,Entrepreneurship,Evening,Sem 7
Offline,CSI,AI,Evening,Sem 3
Online,Rotaract,Entrepreneurship,Morning,Sem 8
Online,GDSC,Innovation,Afternoon,Sem 5
Online,CSI,AI,Afternoon,Sem 7
Offline,IEEE,Cybersecurity,Morning,Sem 6
Online,IEEE,Entrepreneurship,Evening,Sem 7
Offline,IEEE,Entrepreneurship,Morning,Sem 1
Online,Rotaract,Cybersecurity,Evening,Sem 6
Offline,CSI,AI,Afternoon,Sem 2
Online,CSI,Entrepreneurship,Evening,Sem 5
Offline,IEEE,Entrepreneurship,Evening,Sem 6
Offline,CSI,Cybersecurity,Morning,Sem 5
Online,NSS,AI,Evening,Sem 3
Online,CSI,Sustainability,Evening,Sem 3
Offline,CSI,Innovation,Afternoon,Sem 5
Online,IEEE,Sustainability,Evening,Sem 3
Online,GDSC,Entrepreneurship,Morning,Sem 7
Offline,GDSC,Cybersecurity,Evening,Sem 7
Offline,Rotaract,Entrepreneurship,Morning,Sem 8
Online,GDSC,AI,Evening,Sem 8
Offline,IEEE,Cybersecurity,Afternoon,Sem 8
Offline,GDSC,Entrepreneurship,Afternoon,Sem 2
Offline,CSI,Cybersecurity,Evening,Sem 3
Offline,IEEE,Entrepreneurship,Evening,Sem 4
Online,Rotaract,AI,Morning,Sem 8
Offline,CSI,AI,Evening,Sem 3
Online,IEEE,Cybersecurity,Afternoon,Sem 6
Offline,CSI,Innovation,Afternoon,Sem 3
Offline,IEEE,Sustainability,Afternoon,Sem 2
Online,CSI,Innovation,Afternoon,Sem 5
Online,IEEE,AI,Evening,Sem 7
Offline,Rotaract,Entrepreneurship,Evening,Sem 8
Online,GDSC,Innovation,Morning,Sem 8
Online,Rotaract,Innovation,Afternoon,Sem 7
Offline,IEEE,AI,Afternoon,Sem 5
Online,IEEE,Entrepreneurship,Afternoon,Sem 4
Online,IEEE,AI,Morning,Sem 5
Online,GDSC,AI,Morning,Sem 8
Offline,CSI,AI,Evening,Sem 5
Offline,Rotaract,AI,Afternoon,Sem 6
Online,IEEE,Cybersecurity,Afternoon,Sem 4
Online,GDSC,Sustainability,Evening,Sem 5
Offline,IEEE,Sustainability,Afternoon,Sem 6
Online,Rotaract,Entrepreneurship,Morning,Sem 7
Offline,GDSC,Entrepreneurship,Evening,Sem 3
Offline,GDSC,AI,Afternoon,Sem 8
Online,CSI,Innovation,Afternoon,Sem 5
Online,CSI,AI,Morning,Sem 7
Online,NSS,AI,Morning,Sem 2
Online,IEEE,Sustainability,Morning,Sem 4
Offline,Rotaract,Cybersecurity,Afternoon,Sem 6
Online,Rotaract,Cybersecurity,Afternoon,Sem 8
Offline,GDSC,AI,Morning,Sem 1
Online,Rotaract,Innovation,Afternoon,Sem 4
Online,NSS,Cybersecurity,Evening,Sem 2
Offline,CSI,AI,Afternoon,Sem 8
Offline,GDSC,Sustainability,Evening,Sem 7
Offline,IEEE,AI,Evening,Sem 7
Online,CSI,Innovation,Afternoon,Sem 6
