Organizing_Committee,Participated,Registration_Date,Won_Prize,Volunteer
CSI,Yes,22-12-2022,No,No
Rotaract,Yes,19-12-2022,No,Yes
CSI,No,25-03-2025,No,Yes
IEEE,Yes,15-12-2023,Yes,Yes
NSS,Yes,30-11-2024,No,No
IEEE,Yes,04-09-2023,Yes,No
IEEE,Yes,17-03-2023,No,Yes
CSI,Yes,13-01-2025,No,No
CSI,Yes,01-11-2022,Yes,No
GDSC,Yes,04-01-2025,No,No
CSI,No,20-06-2023,No,Yes
GDSC,No,19-05-2024,No,Yes
IEEE,No,16-08-2022,No,Yes
IEEE,Yes,03-08-2023,Yes,Yes
NSS,Yes,24-11-2023,No,Yes
IEEE,No,19-08-2022,No,No
Rotaract,Yes,23-01-2023,No,Yes
NSS,Yes,03-06-2024,Yes,No
Rotaract,No,18-02-2024,No,Yes
IEEE,No,14-04-2024,No,Yes
Rotaract,Yes,30-12-2023,No,No
IEEE,Yes,21-01-2025,No,No
Rotaract,No,04-11-2022,No,No
Rotaract,No,12-03-2023,No,No
NSS,No,20-03-2023,No,No
GDSC,No,18-09-2022,No,No
NSS,Yes,28-07-2022,No,Yes
IEEE,No,26-04-2024,No,No
NSS,Yes,10-02-2023,Yes,No
NSS,No,15-09-2024,No,Yes
Rotaract,Yes,06-01-2023,Yes,Yes
Rotaract,Yes,14-12-2023,No,No
IEEE,No,06-07-2025,No,No
GDSC,Yes,05-03-2023,No,No
CSI,Yes,26-10-2023,Yes,Yes
CSI,No,17-08-2023,No,No
GDSC,Yes,03-11-2023,Yes,Yes
NSS,No,23-07-2023,No,Yes
NSS,Yes,22-10-2024,Yes,Yes
NSS,No,04-11-2023,No,Yes
NSS,Yes,28-06-2023,No,Yes
GDSC,Yes,14-04-2025,No,Yes
NSS,Yes,27-07-2025,Yes,Yes
NSS,No,30-04-2025,No,No
IEEE,Yes,23-02-2025,Yes,No
GDSC,Yes,28-04-2024,No,Yes
NSS,Yes,04-10-2023,No,No
CSI,No,14-10-2023,No,No
NSS,Yes,24-06-2023,No,No
NSS,Yes,04-07-2024,No,No
GDSC,No,27-11-2023,No,Yes
NSS,No,17-02-2025,No,Yes
Rotaract,Yes,08-09-2022,No,No
Rotaract,Yes,22-11-2023,No,Yes
NSS,Yes,31-10-2024,No,No
Rotaract,Yes,27-10-2024,No,Yes
IEEE,Yes,08-08-2023,Yes,No
IEEE,No,11-08-2022,No,No
CSI,Yes,03-10-2022,Yes,Yes
IEEE,Yes,14-01-2023,Yes,No
IEEE,No,19-12-2023,No,Yes
NSS,Yes,05-09-2022,Yes,No
Rotaract,No,13-08-2024,No,Yes
GDSC,Yes,12-01-2024,Yes,Yes
CSI,No,07-02-2023,No,Yes
Rotaract,No,14-02-2025,No,Yes
GDSC,Yes,29-08-2023,Yes,Yes
GDSC,Yes,03-01-2024,No,No
Rotaract,No,31-03-2023,No,Yes
CSI,No,06-04-2024,No,Yes
GDSC,No,02-08-2023,No,No
GDSC,Yes,22-12-2024,No,No
GDSC,Yes,26-03-2025,No,No
Rotaract,No,28-03-2024,No,Yes
Rotaract,Yes,17-04-2023,Yes,Yes
GDSC,No,21-06-2025,No,Yes
CSI,No,22-03-2025,No,No
NSS,No,25-03-2024,No,Yes
Rotaract,No,07-04-2025,No,No
IEEE,No,22-04-2025,No,No
IEEE,No,19-10-2022,No,Yes
GDSC,No,17-04-2024,No,Yes
IEEE,No,11-11-2022,No,Yes
NSS,No,13-09-2023,No,Yes
CSI,Yes,11-01-2024,No,Yes
NSS,Yes,23-11-2023,No,Yes
NSS,Yes,18-02-2024,No,Yes
Rotaract,No,30-01-2024,No,No
IEEE,No,28-09-2022,No,No
IEEE,No,29-04-2023,No,Yes
IEEE,No,19-09-2023,No,Yes
NSS,No,03-08-2024,No,Yes
CSI,Yes,02-12-2024,Yes,Yes
IEEE,Yes,07-02-2024,No,Yes
IEEE,Yes,16-10-2024,Yes,No
GDSC,No,19-03-2025,No,No
NSS,Yes,05-01-2024,No,No
IEEE,No,19-12-2023,No,No
Rotaract,No,23-05-2025,No,Yes
NSS,No,01-03-2025,No,Yes
GDSC,Yes,06-10-2024,Yes,No
Rotaract,Yes,01-02-2024,Yes,No
CSI,No,11-09-2023,No,Yes
GDSC,Yes,30-12-2024,No,No
IEEE,No,19-08-2024,No,No
NSS,Yes,13-12-2022,No,Yes
IEEE,No,25-11-2023,No,Yes
CSI,Yes,07-05-2023,No,No
IEEE,No,13-12-2024,No,No
NSS,No,29-08-2022,No,Yes
NSS,Yes,12-07-2025,Yes,No
GDSC,Yes,09-02-2025,No,No
GDSC,Yes,29-06-2023,No,Yes
CSI,Yes,18-07-2025,Yes,Yes
IEEE,Yes,30-04-2025,Yes,No
NSS,Yes,06-04-2025,Yes,Yes
IEEE,Yes,26-11-2023,No,Yes
NSS,Yes,08-09-2022,No,No
NSS,Yes,14-12-2024,No,No
IEEE,Yes,13-11-2022,Yes,No
GDSC,No,23-09-2024,No,Yes
CSI,No,27-02-2024,No,No
IEEE,No,06-11-2024,No,Yes
NSS,Yes,15-03-2023,Yes,Yes
Rotaract,No,22-12-2024,No,No
CSI,Yes,19-01-2025,No,Yes
NSS,Yes,29-11-2022,No,No
CSI,Yes,22-10-2023,No,No
NSS,No,13-11-2024,No,Yes
Rotaract,No,07-09-2022,No,No
CSI,No,27-09-2022,No,No
IEEE,Yes,12-06-2025,Yes,Yes
CSI,Yes,02-02-2024,No,Yes
CSI,Yes,18-03-2025,No,No
CSI,Yes,02-05-2024,No,No
Rotaract,No,24-04-2025,No,Yes
Rotaract,No,25-12-2024,No,Yes
IEEE,No,19-09-2023,No,Yes
CSI,No,10-10-2022,No,No
CSI,Yes,06-12-2022,No,Yes
Rotaract,Yes,06-09-2023,Yes,No
Rotaract,No,14-06-2023,No,No
NSS,Yes,10-12-2023,Yes,No
GDSC,No,18-02-2025,No,No
CSI,Yes,23-06-2024,No,No
CSI,Yes,11-02-2025,No,No
IEEE,Yes,15-03-2024,Yes,Yes
NSS,Yes,17-02-2025,No,Yes
IEEE,Yes,16-02-2024,Yes,No
CSI,No,15-02-2023,No,No
IEEE,No,13-05-2024,No,Yes
NSS,No,07-01-2024,No,No
CSI,Yes,14-06-2024,Yes,Yes
GDSC,No,20-09-2023,No,Yes
Rotaract,No,03-07-2024,No,No
CSI,Yes,03-11-2022,No,No
NSS,No,27-08-2023,No,Yes
CSI,Yes,13-06-2024,Yes,No
NSS,No,16-03-2024,No,No
Rotaract,Yes,05-08-2023,No,No
Rotaract,No,30-03-2025,No,Yes
NSS,Yes,28-01-2024,No,No
GDSC,No,19-05-2025,No,Yes
CSI,No,24-07-2025,No,Yes
IEEE,Yes,05-06-2025,Yes,No
Rotaract,No,20-12-2023,No,No
GDSC,Yes,23-04-2024,No,No
Rotaract,No,03-10-2024,No,No
Rotaract,Yes,25-10-2023,Yes,Yes
IEEE,No,17-06-2023,No,No
Rotaract,No,12-02-2024,No,No
NSS,Yes,12-08-2024,Yes,No
GDSC,Yes,24-04-2023,Yes,Yes
NSS,No,19-05-2023,No,Yes
CSI,Yes,15-03-2024,No,No
CSI,No,31-12-2024,No,Yes
CSI,Yes,09-04-2023,Yes,Yes
Rotaract,No,23-09-2023,No,No
NSS,No,07-06-2025,No,No
